Account,Token Account,Quantity,Percentage
8nV6o5ZFzqVWiryMqjaFQ9GHCkkPucBP7PZ7CFZxKBdx,3Wqu1UamfffbSZQxjFmDjRGhHaQmk3jXAkYTGsn5mr6i,93.865603747,0.01
3v42PmZbMCdeGKsjHffzSxhGz3Zu5J4moNt5AFzGPhZ2,3iDLRY9WniqPAEvNC1hEHiRvqmwYVv5VN9xMwxJQcE4G,92.213041767,0.01
A7qoaBGReSvXi2KLAwAgQwmDwt3VPQ2Y8bak7isbcJcR,ArA75YHa7aT3az3GocZ7D3YDXmdZfCkut3iEMMMCvQhg,91.290130914,0.01
CpRginF2WGcVgNPZGn8fAKWBqosiyQDRR1GxMzBmjdvW,5tKnU5iPyL5Mc9hHqxF5gBtJTQHDrmjtWtG4zPnQQbwa,91.247902903,0.01
2UKWqwVNYNhPFMVZmpjW9GgPdw5BQLhfxgNfCaCb4NHp,CHrrQrbe3h31TGeeUa8xfDadPeqWgRKEY5WK1tWFRLkA,91.049914673,0.01
F1stLeSiQasqwcJYiezivqGzmRf1a25bpXudNjNgWeTr,Djog4JUkGWhf5cMmx9jktcyeupwCvYhJXKZ1TyKq5Mvf,89.405620218,0.01
9eByxkkeKLWom27sUXuQQGBVmt9U2yz3cHjQyK96Hzrj,9xpnAG7ccxhg3SkHiM8JC6iHFR3V9DvvFQLbnKdvk4qZ,89.225325505,0.01
nY3fb1MzKpwgTVC7gKH7bAPLAVSWCvtNyRs2cyAoyS6,DyR4Y1zb8zvZCpFrgpw4hHGsuPriydrhQ2syeRUmTxWf,88.862241884,0.01
9DmZxt4NKvn3tiaaycBeZvwga2GdjPMFb1kBMEqbxEaD,EDqqwWuCmSGJ7jYo2VspSCN99oGvNpgC7K57Jz7BScPR,88.075605484,0.01
5L8G31mX8pKxDmY8RBtVdwQufGHV5tDRfTcRQg8rgtXk,6znP6eSUHZjrTaev42vHuDvaEzojbbEXqrYN7Pzs9wPh,87.981539924,0.01
63XwUBRk7jT7VbMpSpkeqv1PryU2JVy9mWXL1ZFxRdwP,8C9bTUzKns3fFJi18gFE9cPhtSqcokuevfN4B4UonxYM,86.774203763,0.01
ERfZmohnvKUDyE7GHHdeUNjkq7wRUqrAvcpSRHK2gCqw,9eUZcqSjnEcssqV3EkGn5M8xpVBperHr7UR6dqA5kyEV,85.928032149,0.01
78udagkQVECeDCcjXU7ppWBpsP8bL7BmzAwATYd7rsyb,58rPzCCugDVxhruViC1B4Zdw3chBx5zzsMD8PyugcqdP,85.503144149,0.01
9TiSmMnt2W9tJ3J7AJNzNNQ726njbeTw1ePu4fgPu4qs,EiqKTVYx5puyuf7TSttYhMHT2gMfiViSHUhc3ENQkVUi,82.923511864,0.01
7iPJmGhi6FaLKBNxjyP3qVNX6nM3hs1VSj7B8nAq9QA3,3TowZ1msa8cAWihPiLRZXffNMQAe1eAZLd1GAxvWeWTq,82.389184958,0.01
CV4npjFZbNUERFA4p6LFxD6s3gxfCTyib1GqqYuexjNy,CeTtxrveNGnmzpZjzKciQPC9GC8H4BjT7tZnhnqJtuhC,81.987733086,0.01
5BZq5J5Uatp3TAc1XGrnS7Ft2NoFAUXaEVMHTUfVut5s,GPmLFqGztGJmmNZbdeVGuntAa9nWs4RixQLWxQS4g3uA,80.729184677,0.01
EvpVmej1BA1da9sDdcsgNY2xtxejjAzQ17wfbFUDxpwJ,HrNZcTTJKYLnFjNwaxZnB1dFQwr9zN3o7KoJzPX9SrQy,80.014112267,0.01
Hk1dxncFiJZ7q1gNQfGF7DVWMjRUY8xKzB1DioFSr9sS,4Gmxa5P2bpiJeKYtnc3qgVTVt63tV6JbyGFVEXqb528T,80.007441869,0.01
HiK7MZEvVD4bxM5Ea8qRoL54PHiuff2PMvNow2dTvnG4,243u2eNaUAPhKGHHSWPDni3RbsRkDGN9j6D87bBavAEr,78.647694738,0.01
